Assemblage_Name	2-9003099-4	1-1991042-8042047	1-9362458-8042047	3573471-1324393-1	0-8146201-1	5031861-2-1	3889059-1782250-1	3-4065276-4	3889059-4683744-1	1-2-6717797	9947299-2-1	0-7612833-1	3889059-2-3662767	0-0-9628366	0-2-8268219	0-0-7858946	3443813-2-1	8398743-9853810-9112443	2903325-2519904-1	1-228400-8042047	5516706-0-3	0-2-8809867	1-5069620-8042047	0-3-2508413	6228039-1834400-1	2-1304410-4	0-2-7083828	4-2-3656075	1696318-2-4	3573471-6469843-1	4312936-2519904-1	1-7206273-8042047	9540292-1991042-8042047	3889059-5110904-1	1-5376133-8042047	4-2-2891108	3517029-5376133-8042047	4-2-7425469	0-2771318-7105968	4-2-4872345	4707801-2-1	545370-1782250-1	2-8377211-4	8433005-2-1	4663033-2-1	3889059-4202277-1	0-0-2116068	0-2-7463834	3573471-2-1	3957701-2-4	0-0-3	1098519-2-1	4-4008056-4	2-3-1627463	6278865-2-9835983	3284463-3633900-7559077	0-2-7105968	3889059-2-1	3889059-1834400-1	3573471-6908546-1	0-3-5773498	0-3-4	1028169-4-4	1-5376133-2840078	7481847-4683744-1	8681047-2-1	1-1991042-114095	3889059-6991505-1	0-6213268-1	1-2-1	4663033-2-9800038	3889059-2-9835983	1696318-2-2242375	4-9853810-0	5180940-5376133-8042047	1-3887276-8042047	1-5376133-8205589	2761941-1782250-1	3889059-8680991-1	3284463-3129-7559077	0-4906442-4	0-2-8396282	1-1991042-2177963	2-3-4	1-7162694-8042047	2-3-2527505	3889059-2-848170	3573471-2-2264430	0-0-8206287	493157-7267559-4	2-7259674-4	9075036-2-1	1823780-0-3	4272409-5376133-8042047	5847069-2-4	0-2-419652	0-1415315-4	0-2-1	4-3194535-4	1742483-0-3	411181-2-1	0-3-603733	0-2-9299650	0-3-6314101	1-1991042-2340266	4-3129-5477059	0-0-9441496	0-2-1864347	4-2-4	0-7954904-1	5564740-1991042-8042047	0-9579195-7105968	3-4-4	4-3129-0	0-1360950-1	4-518394-4	4-2029701-2891108	1-2691945-8042047	3889059-2-4981095	0-2288135-1	4-2-1689290	3573471-2-8270622	0-5836925-6625103	6736508-2-1	5154808-2-7105968	8335267-2-1	0-1966021-7105968	0-8869046-1	0-0-6625103	846544-2-4	4-3129-3734499	4-9739963-4	4-2-8469275	1-2998145-8042047	4-6618443-4	4-3129-7559077	0-2-330510	4-9853810-9112443	8005495-2-1	2-8330347-1627463	0-6499378-1	4-1964631-4	3865773-2-4	7751642-5376133-8042047	0-9235491-1	8879959-2-1	1823780-6901285-3	1-6119060-8042047	6222555-2-1	3284463-6288988-7559077	8069865-2-4	4-3129-892927	1-2-604074	3131116-3-4	2258264-3-4
assemblage-596-549	0	83	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	37	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-477-268	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	9	0	0	0	0	0	26	13	0	0	0	27	0	0	0	58	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
assemblage-294-555	0	8	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	32	74	0	0	0	38	0	0	0	0	0	0	0	0	11	13	0	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	48	35	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-422-456	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	15	0	0	0	0	0	41	31	8	0	0	12	0	0	0	37	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	44	0	0	9	0	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	27
assemblage-545-414	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	32	74	0	0	0	54	0	0	0	0	0	0	0	0	10	6	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	10	48	0	0	0	0	0	0	0	0	0	0	42	18	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
assemblage-541-414	0	13	0	0	0	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	39	58	0	0	0	41	0	0	0	11	0	0	0	0	10	11	0	0	11	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	5	45	0	0	0	0	0	0	0	0	0	0	42	23	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-488-656	0	19	0	0	0	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	35	69	0	0	0	46	0	0	0	0	0	0	0	0	13	8	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	56	0	0	0	0	0	0	0	0	0	0	58	12	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-389-410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	43	0	0	0	0	0	0	0	0	0	0	30	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	13	0	0	0	0	98	0	4	0	0	0	0	0	0	0	0	34	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
assemblage-345-403	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	17	0	0	0	0	0	21	14	0	0	0	40	0	0	0	33	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	98	0	1	0	0	0	0	0	0	0	0	59	0	0	0	22	27	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-483-276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	17	0	0	0	8	0	10	0	0	0	0	0	39	18	7	0	0	31	0	0	0	48	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	39
assemblage-598-540	0	63	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	45	0	0	0	20	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	21	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	16	58	0	0	0	0	0	0	0	0	0	0	76	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-508-408	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	7	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	49	33	0	0	0	34	0	0	0	14	0	0	0	0	0	5	0	0	11	0	0	0	0	6	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	9	42	14	0	0	0	25	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-443-448	0	68	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	4	0	0	0	0	0	64	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	71
assemblage-441-558	0	87	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	52	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	64	0	0	0	0	0	0	0	6	0	0	0	0	0	27	0	0	8	0	0	0	0	0	0	0	74	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-598-466	0	87	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	12	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-413-336	0	95	0	0	0	0	11	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	91	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	8	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-633-584	0	68	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	51	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	6	8	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-562-542	0	66	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	0	0	0	0	82	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-343-490	5	97	0	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	31	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	2	7	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-424-495	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	17	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	25	45	0	0	0	46	0	0	0	23	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	52	10	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-356-528	0	73	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	18	9	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	8	0	0	0	0	0	0	0	73	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-445-476	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	11	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	38	50	0	0	0	42	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-623-440	0	85	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	5	0	0	0	0	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13	39	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	40	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-665-452	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	79	6	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	11	0	0	0	0	63	0	7	0	0	0	0	0	0	0	0	48	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
assemblage-519-455	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	105	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	7	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	36	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-300-435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	11	0	0	0	0	0	11	7	0	0	0	26	0	0	0	26	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	70	0	0	0	4	33	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-404-560	0	92	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	54	15	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	31	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	20	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-525-433	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	79	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	9	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	34	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-437-342	0	52	0	0	0	0	17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	47	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	20	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	11	42	0	0	0	0	0	0	0	0	0	0	70	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-337-459	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	7	0	0	0	0	0	36	21	0	0	0	16	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	44
assemblage-639-638	0	93	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	8	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	22	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	9	10	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-470-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	74	0	0	0	0	0	0	0	0	0	13	0	0	0	8	0	10	0	0	0	0	0	47	17	0	0	0	21	0	0	0	19	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	61	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-255-510	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	8	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	47	29	0	0	0	45	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	3	58	6	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-530-477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	47	9	0	4	0	0	0	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	10	0	0	5	0	115	0	0	0	0	0	0	0	0	0	0	44	0	0	0	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
assemblage-465-469	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	83	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	33	0	0	0	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-465-544	3	88	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	82	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	5	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-504-537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	47	0	0	7	0	0	0	10	0	0	0	27	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	13	0	0	8	0	109	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	15	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-429-313	0	77	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	52	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	17	12	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	8	0	0	0	0	0	0	0	57	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
assemblage-390-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	12	0	0	0	16	0	5	0	0	0	0	0	50	14	11	0	0	34	0	0	0	27	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	47	7	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	49
